title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
Steel Rain,2017,139,32.78,0.0,0.0,32.78,1.0,4206,3.4,"Action, Thriller"
This Is Not What I Expected,2017,106,31.0,0.34,0.01,30.66,0.99,2101,3.3,"Romance, Comedy"
The Last Warrior,2017,120,30.62,0.0,0.0,30.62,1.0,1455,2.9,"Fantasy, Action, Family"
The Bye Bye Man,2017,96,29.87,22.4,0.75,7.48,0.25,47600,1.5,"Thriller, Horror, The Undead And Monster Classics"
The Disaster Artist,2017,104,29.82,21.12,0.71,8.7,0.29,352162,3.6,"Drama, Comedy, Crude Humor And Satire"
The Swindlers,2017,117,29.72,0.24,0.01,29.48,0.99,2243,3.1,"Thriller, Crime, Action"
Alibi.com,2017,90,29.37,0.0,0.0,29.37,1.0,13423,2.8,"Family, Comedy"
Recep Ivedik 5,2017,114,28.95,0.0,0.0,28.95,1.0,6826,2.1,Comedy
Judwaa 2,2017,150,28.73,1.43,0.05,27.3,0.95,3945,1.9,"Action, Comedy, Romance"
The Fortress,2017,140,28.65,0.25,0.01,28.39,0.99,3482,3.6,"War, History, Drama"
What Happened to Monday,2017,123,27.98,0.0,0.0,27.98,1.0,149675,3.1,"Drama, Science Fiction, Thriller"
Monster Family,2017,93,27.89,0.13,0.0,27.76,1.0,4130,1.9,"Fantasy, Family, Comedy"
The Beguiled,2017,93,27.87,10.71,0.38,17.16,0.62,144138,3.3,"Drama, Moving Relationship Stories, Erotic Relationships And Desire"
Only the Brave,2017,133,26.35,18.34,0.7,8.01,0.3,46707,3.8,"Drama, Action, Moving Relationship Stories"
Love Off the Cuff,2017,119,25.96,0.0,0.0,25.96,1.0,748,3.2,"Romance, Comedy"
Father Figures,2017,113,25.7,17.5,0.68,8.2,0.32,11936,2.4,"Comedy, Crude Humor And Satire, Laugh-Out-Loud Relationship Entanglements"
Fireworks,2017,90,25.67,0.53,0.02,25.15,0.98,11678,2.5,"Drama, Fantasy, Animation"
The Death of Stalin,2017,107,24.65,8.05,0.33,16.6,0.67,203304,3.8,"Drama, Comedy, History"
The 8-Year Engagement,2017,119,24.43,0.0,0.0,24.43,1.0,820,3.4,"Romance, Drama"
Jolly LLB 2,2017,140,24.21,1.65,0.07,22.56,0.93,4337,3.1,"Comedy, Crime, Crude Humor And Satire"
I Can Speak,2017,119,24.02,0.06,0.0,23.96,1.0,3617,3.8,"Drama, Comedy"
Wish Upon,2017,91,23.47,14.3,0.61,9.17,0.39,28980,1.9,"Fantasy, Thriller, Horror"
Detroit,2017,143,23.36,16.79,0.72,6.56,0.28,50963,3.7,"Crime, Drama, History"
Extraordinary Mission,2017,117,22.76,0.05,0.0,22.7,1.0,345,3.3,"Adventure, Thriller, Action"
The Glass Castle,2017,127,22.09,17.27,0.78,4.82,0.22,34278,3.3,"Drama, Moving Relationship Stories, Emotional And Touching Family Dramas"
The Prison,2017,125,21.21,0.21,0.01,21.0,0.99,1440,3.1,"Action, Crime"
Avengers: Infinity War,2018,149,2048.36,678.82,0.33,1369.54,0.67,2174852,4.0,"Action, Science Fiction, Adventure"
Black Panther,2018,135,1346.91,700.06,0.52,646.85,0.48,1875107,3.7,"Adventure, Science Fiction, Action"
Jurassic World: Fallen Kingdom,2018,129,1308.47,417.72,0.32,890.75,0.68,470827,2.6,"Action, Adventure, Science Fiction"
Incredibles 2,2018,118,1242.81,608.58,0.49,634.22,0.51,972661,3.4,"Animation, Adventure, Family"
Aquaman,2018,143,1151.96,335.06,0.29,816.9,0.71,612619,2.8,"Fantasy, Action, Adventure"
Bohemian Rhapsody,2018,135,903.66,216.43,0.24,687.23,0.76,1225300,3.4,"Drama, Music, Moving Relationship Stories"
Venom,2018,112,856.09,213.52,0.25,642.57,0.75,895851,2.9,"Science Fiction, Action, Monsters"
Deadpool 2,2018,120,734.55,318.49,0.43,416.06,0.57,1188409,3.5,"Action, Comedy, Adventure"
Fantastic Beasts: The Crimes of Grindelwald,2018,134,655.76,159.56,0.24,496.2,0.76,440755,2.6,"Fantasy, Adventure, Epic Heroes"
Ant-Man and the Wasp,2018,119,622.67,216.65,0.35,406.03,0.65,828047,2.9,"Adventure, Action, Science Fiction"
Ready Player One,2018,140,583.49,137.69,0.24,445.8,0.76,792246,3.3,"Science Fiction, Action, Adventure"
