title,year,number_ratings,average_rating,length,genres
Wonder,2017,"Weighted average of 3.53 based on 360,633 ratings",3.5,113 mins   More at IMDB TMDB,"Family, Drama, Moving Relationship Stories, Underdogs And Coming Of Age, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Student Coming-Of-Age Challenges, Powerful Stories Of Heartbreak And Suffering, Adorable Animals And Heartwarming Families, Show All…"
Cars 3,2017,"Weighted average of 3.00 based on 326,329 ratings",3.0,102 mins   More at IMDB TMDB,"Animation, Comedy, Family, Adventure, Inspiring Sports Underdog Stories, Adrenaline-Fueled Action And Fast Cars, Underdog Fighting And Boxing Stories, Show All…"
Wind River,2017,"Weighted average of 3.83 based on 244,101 ratings",3.8,107 mins   More at IMDB TMDB,"Thriller, Western, Mystery, Crime, Thrillers And Murder Mysteries, High Speed And Special Ops, Intense Violence And Sexual Transgression, Westerns, Crime, Drugs And Gangsters, Suspenseful Crime Thrillers, Gripping, Intense Violent Crime, Intriguing And Suspenseful Murder Mysteries, Violent Crime And Drugs, Noir And Dark Crime Dramas, Show All…"
The Ritual,2017,"Weighted average of 3.18 based on 252,257 ratings",3.2,94 mins   More at IMDB TMDB,"Horror, Mystery, Thriller, Horror, The Undead And Monster Classics, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Twisted Dark Psychological Thriller, Gothic And Eerie Haunting Horror, Gory, Gruesome, And Slasher Horror, Show All…"
Logan Lucky,2017,"Weighted average of 3.55 based on 236,329 ratings",3.5,118 mins   More at IMDB TMDB,"Comedy, Crime, Crude Humor And Satire, Gags, Jokes, And Slapstick Humor, Heists And Thrilling Action, Laugh-Out-Loud Relationship Entanglements, Funny Jokes And Crude Humor, Adrenaline-Fueled Action And Fast Cars, Show All…"
Columbus,2017,"Weighted average of 3.97 based on 107,857 ratings",4.0,104 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Humanity And The World Around Us, Surreal And Thought-Provoking Visions Of Life And Death, Touching And Sentimental Family Stories, Heartbreaking And Moving Family Drama, Passion And Romance, Emotional And Touching Family Dramas, Show All…"
Atomic Blonde,2017,"Weighted average of 3.28 based on 220,500 ratings",3.3,115 mins   More at IMDB TMDB,"Thriller, Adventure, Action, High Speed And Special Ops, Epic Heroes, Exciting Spy Thrillers With Tense Intrigue, Explosive And Action-Packed Heroes Vs. Villains, Violent Action, Guns, And Crime, Heists And Thrilling Action, Adrenaline-Fueled Action And Fast Cars, Show All…"
The Big Sick,2017,"Weighted average of 3.76 based on 226,405 ratings",3.8,120 mins   More at IMDB TMDB,"Drama, Comedy, Romance, Relationship Comedy, Moving Relationship Stories, Crude Humor And Satire, Laugh-Out-Loud Relationship Entanglements, Quirky And Endearing Relationships, Charming Romances And Delightful Chemistry, Touching And Sentimental Family Stories, Gags, Jokes, And Slapstick Humor, Show All…"
The Babysitter,2017,"Weighted average of 2.73 based on 272,130 ratings",2.7,85 mins   More at IMDB TMDB,"Horror, Comedy, Crude Humor And Satire, Horror, The Undead And Monster Classics, Underdogs And Coming Of Age, Teen School Antics And Laughter, Gory, Gruesome, And Slasher Horror, Gags, Jokes, And Slapstick Humor, Action Comedy And Silly Heroics, Bloody Vampire Horror, Show All…"
It Comes at Night,2017,"Weighted average of 3.17 based on 192,246 ratings",3.2,91 mins   More at IMDB TMDB,"Drama, Mystery, Horror, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Creepy, Chilling, And Terrifying Horror, Sci-Fi Horror, Creatures, And Aliens, Survival Horror And Zombie Carnage, Show All…"
The Death of Stalin,2017,"Weighted average of 3.77 based on 203,304 ratings",3.8,107 mins   More at IMDB TMDB,"Drama, Comedy, History, Crude Humor And Satire, Politics And Human Rights, Amusing Jokes And Witty Satire, Funny Jokes And Crude Humor, Gags, Jokes, And Slapstick Humor, Political Drama, Patriotism, And War, Riveting Political And Presidential Drama, Show All…"
Gerald’s Game,2017,"Weighted average of 3.11 based on 226,236 ratings",3.1,104 mins   More at IMDB TMDB,"Thriller, Horror, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Gothic And Eerie Haunting Horror, Gory, Gruesome, And Slasher Horror, Creepy, Chilling, And Terrifying Horror, Show All…"
The Beguiled,2017,"Weighted average of 3.34 based on 144,138 ratings",3.3,93 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Erotic Relationships And Desire, Student Coming-Of-Age Challenges, Passion And Romance, Emotional Teen Coming-Of-Age Stories, Show All…"
Despicable Me 3,2017,"Weighted average of 2.57 based on 278,201 ratings",2.6,90 mins   More at IMDB TMDB,"Action, Animation, Family, Adventure, Comedy, Crude Humor And Satire, Kids' Animated Fun And Adventure, Catchy Songs And Hilarious Musical Comedy, Gags, Jokes, And Slapstick Humor, Holiday Joy And Heartwarming Christmas, Adorable Animals And Heartwarming Families, Show All…"
